Category,Key,English,Bulgarian,Notes
main menu,menu1,Continue Game,Продължи игра,
,menu2,Start Game,Нова игра,
,menu3,Start Game from Matthew,Започни игра от Матю,
,menu4,Options,Настройки,
,menu5,Quit Game,Излез,
options,opt1,Music Volume,Ниво на музиката,
,opt2,SFX Volume,Звукови ефекти,
,opt3,Item Animation Speed,Скорост на анимацията,
,opt4,Brightness,Яркост,
,opt5,Rotate,Въртене,
,opt6,FPS,FPS,
,opt7,Screen Size,Размер на екрана,
,opt8,Quality,Качество,
,opt9,Language,Език,
,opt10,Return to Menu,Назад към менюто,
,clickMe,Click me!,Натисни ме!,
,sellHere,Drag to me to Sell,"Влачи дотук, за да продадеш",
,noMoreSale,I only buy three items!,Купувам само по три предмета!,
,on,on,включено,
,off,off,изключено,
,windowed,windowed,прозорец,
,full screen,full screen,пълен екран,
,borderless,borderless,без рамка,
,unlimited,unlimited,неограничено,
,low,low,ниско,
,medium,medium,средно,
,high,high,високо,
gameManagerMessages,gmreo,Reorganize now to claim this item!,"Пренареди сега, за да взема този предмет!",
,gm1,Finished!,Готово!,
,gm2,Must be in an empty room!,Трябва да съм в празна стая!,
,gm3,Cannot save right now!,Не мога да запиша сега!,
,gm4,Complete tutorial to save!,"Трябва да завърша увода, за да запиша!",
,gm5,Cannnot save while moving!,"Не мога да запиша, докато се движа!",
,gm6,Finale,Финал,
,gm7,Part /x of /y,"Част /x от /y",
,gm8,Finished Choosing,Приключих с избирането,
,gm9,Can't take more items,Не мога да взема повече предмети,
,gm10,Take /x items,Вземи /x предмета,
,gm11,Take 1 item,Вземи 1 предмет,
,gmb,Battle Start!,Начало на битка!,
,gmpt,Player Turn!,Мор ред!,
,gmet,Enemy Turn!,Техен ред!,
,gm12,You win!,Печеля!,
,gm13,Level Up!,Качих ниво!,
,gm14,Get items!,Вземи предмети!,
,gm15,Not enough energy,Нямам достатъчно енергия,
,gm16,Any items left outside the backpack will be lost,"Ще загубя всички предмети, които оставя извън раницата",
,gm17,Finished Reorganizing,Приключих с пренареждането,
,gm18,Save Failed!,Неуспешен запис!,
,gm19,You have been cursed!,Бях прокълнат!,
,gm20,Skip curse. Take /x damage,"Ще игнорирам проклятието, но ще поема /x щета",
,gm21,Choose an item,Избери предмет,
,gm22,Never Mind,Зарежи,as a response when not selecting an item
,gm23,You must place all curses!,Трябва да поставя всички проклятия!,
,gm24,Cannot be combined with selected item,Не може да се комбинира с избрания предмет,
,gm25,Cannot be used!,Не може да се използва!,
,gm26,Not enough connected Mana,Нямам достатъчно свързана мана,
,gm27,Not enough Gold,Нямам достатъчно злато,
,gm28,No more uses this combat,Не мога да го ползва повече в тази битка,
,gm29,No more uses this turn,Не мога да го ползвам повече този ход,
,gm30,No more uses,Не мога да го ползвам повече,
,gm31,This item is disabled,Не мога да ползвам този предмет,
,gm32,Anchored,Закотвен,
,gm33,Cannot move a curse,Не мога да местиш проклятие,
,gm34,Cannot move here,Не мога да го преместя тук,
,gm35,Cannot afford,Не мога да си го позволя,
,gm36,Cannot place here,Не мога да го поставя тук,
,gm37,Finish Battle to Continue,"Трябва да приключи битката, за да продължа",
,gm38,Can't move here!,Не мога да стигна до там!,
,gm39,Pathway blocked!,Пътят е блокиран!,
,gm40,Game Loaded,Играта беше заредена,
,gm41,Game Saved,Играта беше записана,
,retry,retry,опитай пак,
,gm42,Choose /x spaces,Избери /x места,
,gmSatchel1,Items must be placed on a rune space!,Предметите трябва да се поставят на място с руна!,
,gmSatchel2,You can't move items once they're crammed in!,"Не мога да местя предмети, когато си се натъпкал!",
,gmSatchel3,There's no space to cram it in!,Нямам място да го напътча!,
minigames,mini1,Spin /x gold,Завърти за /x злато,
,mini2,Spin - free,Завърти - безплатно,
,mini3,Can't leave yet,Не мога да изляза още,
,mini4,Finish your guess to leave,"Трябва да приключа с опитите, за да изляза",
,mini5,No more guesses!,Нямам повече опити!,
,mini6,Matching,Съвпадащи,
,mini7,You have /x guesses remaining,Остават ми /x опита,
tutorials,tut1,In combat you click items to use them. You must defeat all enemies to continue.,"Щракай по предметите, за да ги използваш в битка. Трябва да победиш всички противници, за да продължиш.",
,tut2,"Add all items to your backpack to continue! While holding an item, you can press right mouse or arrow keys to rotate it!","Добави всички предмети в раницата си, за да продължиш! Натисни дясното копче на мишката или стрелка, докато държиш предмет, за да го завъртиш!",
enemyCards,enemyXP,You will get /x experience for defeating this enemy,"Ще получиш /x опит, ако победиш този противник",
,enemyC,"Cowardly! Will flee if only cowardly enemies remain""","Бъзльо! Ще избяга, ако останат само бъзльовци",
,enemyS,This enemy is a summon,Този противник е призован,
,enemyHP,HP: /x / /y,Живот: /x / /y,"example: ""HP: 3 / 5"""
enemies,Броненосец,Armadillo,Armadillo,
,Armadillo1,These armadillos are legendary for their defensive abilities! And their stench!,Тези броненосци са известни със защитните си умения! И вонята си!,
,Badger Boss,Badger Boss,Шефът на Язовците,
,Badger Boss1,The Badger Boss is a true threat!,Шефът на Язовеците е истинска заплаха!,
,Badger,Badger,Язовец,
,Badger1,You never see these guys alone. So annoying!,Никога не са сами. Много досадно!,
,Bandit Lord,Bandit Lord,Шефът на бандитите,
,Bandit Lord1,Isn't rebelling against authority the whole point of being a bandit?,Не е ли бунтуването срещу властта смисълът да си бандит?,
,Bat,Bat,Прилеп,
,Bat1,These bats don't drink... wine...,Тези прилепи не пият... вино...,
,Blademaster,Blade Master,Майстор на острието,
,Blademaster1,"""You seem a decent fellow, I hate to kill you""","""Изглеждаш ми свестен, ще трябва да те убия""",
,Bearded Dragon,Bearded Dragon,Брадат Дракон,
,Bearded Dragon1,Karate practice is a way of life,Практикуването на карате е начин на живот,
,Blue Slime,Blue Slime,Синя Слуз,
,Blue Slime1,Blueberry flavor! Mmm!,С вкус на боровинка! Мхм!,
,Crossbowman,Crossbowman,Арбалетчик,
,Crossbowman1,Hares - Nimbler than Badgers and stronger than Rabbits. They are ideal crossbowmen in the King's army,Hares - Nimbler than Badgers and stronger than Rabbits. They are ideal crossbowmen in the King's army,
,Crow Bandit,Crow Bandit,Врана Бандит,
,Crow Bandit1,They'll take your stuff and fly off,Взимат ти нещатата и отлитат,
,Cultist Blade,Cultist Blade,Култистко Острие,
,Cultist Blade1,From his hand a gold chain dangles - an idol of his leader,От ръката му виси златна верижка - идол към шефа му,
,Cultist,Cultist,Култист,
,Cultist1,The cult is a pathway to many unnatural abilities,Култът е път към много неестествени умения,
,Elder Mage,Elder Mage,Старши Магьосник,
,Elder Mage1,From his hand a gold chain dangles - an idol of his leader,От ръката му виси златна верижка - идол към шефа му,
,Ferret King,Ferret King,Цар Пор,
,Ferret King1,He'd be kind of cute if he wasn't such a violent person,"Би бил сладък, ако не беше толкова избухлив",
,Fire Gecko,Fire Gecko,Огнен Гущер,
,Fire Gecko1,"Years of training, but no match for a magical backpack","Години тренивока, но въпреки това не може да се сравянява с магичека раница",
,Frog Wizard,Frog Wizard,Жабок Магьосник,
,Frog Wizard1,Frogs know about a deep magic that appears on rare Wednesdays,"Жабоците знаят за специална магия, която се появява от време на време в сряда",
,Gerbil Ruffian,Gerbil Ruffian,Джербил Главорез,
,Gerbil Ruffian1,Rumor has it that Gerbils used to be pets before the founding of Orderia. These overgrown monsters make you doubt it.,"Има слух, че джербилите някога, преди основаването на Ордерия, били домашни животни. Тези прераснали чудовища обаче те карат да се съмняваш.",
,Glory Knight,Glory Knight,Славен Рицар,
,Glory Knight1,Courageous heroes who have lost their way,"Смели герои, които са загубили пътя си",
,Grandmaster,Grandmaster,Велик Майстор,
,Grandmaster1,The fires of this place will turn you to ashes,Огънят тук ще те превърне в пепел,
,Hawk Knight,Hawk Knight,Рицар Ястреб,
,Hawk Knight1,Noble. Screechingly loud. Pretty annoying really,"Благороден. Ужасно шумен. Много досаден, наистина",
,Hermit Crab,Hermit Crab,Рак Отшелник,
,Hermit Crab1,"Sure they're crabs, but most hermits are easier to avoid","Наистина са раци, но повечето отшелници са лесни за избягване",
,King,King,Крал,
,King1,"""All the world will be your enemy""","""Целият свят ще ти бъде враг""",
,Lil Bee,Li'l Bee,Малка Пчеличка,
,Lil Bee1,These small bees are all drones of the queen ,Всички тези малки пчелички са търтеи на кралицата,
,Living Shadow,Living Shadow,Жива Сянка,
,Living Shadow1,A dark shadow of yourself.  Doppel-get-over-it!,Твоя жива сянка. Вземи се в ръце!,
,Muskrat Brigand,Muskrat Brigand,Ондатра Разбойник,
,Muskrat Brigand1,"Tiny, spiny, they'll kick you in your... face","Малки, бодливи, ще те сритат в ... лицето",
,Newt,Newt,Тритон,
,Newt1,Newts stay in moist areas. It's pretty nasty really,Тритоните живеят във влажни местностни. Наистина доста гнусно,
,Olm,Olm,Олм,
,Olm1,Is it getting hot in here?,Горещо ли стана?,
,Pink Flower,Pink Flower,Розово Цвете,
,Pink Flower1,Beautiful but deadly,"Красиво, но смъртоносно",
,Porcupine ,Porcupine ,Бодливо Свинче,
,Porcupine1,Porcupines are usually friendly creatures. Something horrible must have happened to her,Обикновено бодливите свинчета са приятелки настроени същества. Трябва да се е случило нещо ужасно с нея,
,Purple Slime,Purple Slime,Лилава Слуз,
,Purple Slime1,Grape flavor. Delicious!,С вкус на грозде. Вкусно!,
,Queen Bee,Queen Bee,Царица Пчела,
,Queen Bee1,The queen bee commands the armies!,Царицата пчела командва армиите!,
,Rabbit,Rabbit,Заек,
,Rabbit1,The rabbit knows you are in its garden,"Заекът знае, че си в градинката му",
,Ratwolf,Ratwolf,Плъховълк,
,Ratwolf1,"The ratwolf has long patrolled these halls, killing adventurers who stray too far","Плъховълкът отдавна патрулира тези коридори, убивайки загубили се приключенци",
,Red Slime,Red Slime,Червена Слуз,
,Red Slime1,Strawberry flavor!,С вкус на ягода!,
,Repxecutioner,Repxecutioner,Гущерач,
,Repxecutioner1,These lizards are known for their legendary fighting ability,Тези гущера се славят с легендарните си бойни умения,
,Rude Rooster,Rude Rooster,Груб Петел,
,Rude Rooster1,This guy punched through his shell at 20 days old,Този пробил черупката си на 20-дневна възраст,
,Sable,Sable,Самур,
,Sable1,Sables are fierce predators,Самурите са свирепи хищници,
,Sage Toad,Sage Toad,Жабок Мъдрец,
,Sage Toad1,Wise toads are no one to be trifled with. That is all you need to know,"Не закачай мъдрите жабоци. Това е всичко, което трябва да знаеш",
,Salamander,Salamander,Саламандър,
,Salamander1,"Wary, powerful, dignified, really long tongue","Предпазливи, силни, достойни, с много дълги езици",
,Skink,Skink,Сцинк,
,Skink1,"Skinks appear silently, sneaking digits snap up treasures from the unsuspecting","Сцинковете изглежат тихи. Бързи пръсти гепят съкровища от неподозиращи жертви",
,Slime,Slime,Слуз,
,Slime1,These goopy creatures make you feel sick!,Повдига ти се от тези мръсни същества!,
,Small Ratwolf,Small Ratwolf,Малък Плъховълк,
,Small Ratwolf1,The smaller version of the ratwolves that patrol the upper layers of the dungeon,"По-малката версия на плъховълците, които патрулират горните нива на подземието",
,Snake,Snake,Змия,
,Snake1,"Poisonous, Dangerous, keep them away from planes","Отровна, опасна, дръж ги далеч от самолети",
,Speaker,Speaker,Говорителят,
,Speaker1,The speaker interprets the will of the Dark Lady,Говорителят предава волята на Тъмната Господарка,
,Travelling Warrior,Travelling Warrior,Пътуващ Воин,
,Travelling Warrior1,"Known for their fast movement and defensive abilities, these rogues are dangerous! Watch out!","Известни с бързи движения и защитни умения, тези мошеници са опасни! Внимавай!",
,Turtle,Turtle,Костенурка,
,Turtle1,Their shells are hard. Their hearts are even harder.,Черупките им са твърди. Сърцата - още повече.,
,Vole,Vole,Полевка,
,Vole1,Voles are notorious for walking off with anything that isn't nailed down,"Полевките са известни с това, че си тръгват с всичко, което не е заковано на място",
,White Flower,White Flower,Бяло Цвете,
,White Flower1,Beautiful but deadly,"Красиво, но смъртоностно",
enemy actions,ea1,Will attack for /x damage,Ще атакува за /x щета,
,ea1a,Will attack all enemies for /x damage,Ще атакува вички противници за /x щета,
,ea2,Will add /x block,Ще добави /x блок,
,ea2a,Will add /x block to all enemies,Ще добави /x блок на всички противници,
,ea3,Will heal for /x,Ще се излекува за /x,
,ea3a,Will heal all enemies for /x,Ще излекува всички за /x,
,ea4,Will not take any action,Няма да предприеме никакви действия,
,ea5,Will add /x poison,Ще добави /x отрова,
,ea6,Will add /x burn,Ще добави /x изгаряне,
,ea7,Will add /x regeneration,Ще добави /x регенерация,
,ea7a,Will add /x regeneration to all enemies,Ще добави /x регенеразия на всички противници,
,ea8,Will add /x spikes,Ще добави /x шипове,
,ea8a,Will add /x spikes to all enemies,Ще добави /x шипове на всички противници,
,ea9,Will add /x dodge,Ще добави /x отбягване,
,ea9a,Will add /x dodge to all enemies,Ще добави /x отбягване на всички противници,
,ea10,Will add /x slow,Ще добави /x мудност,
,ea11,Will add /x weak,Ще добави /x слабост,
,ea12,Will summon an enemy,Ще призове противник,
,ea13,Will deal /x vampirism,Ще направи /x вампиризъм,
,ea14,Will add one of these curses:,Ще добави едно от следните проклятия:,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Levels,The Crypt,The Crypt,Криптата,
,The Bramble,The Bramble,Храсталакът,
,Deep Cave,Deep Cave,Дълбоката пещера,
,Enchanted Swamp,Enchanted Swamp,Омагьосаното Блато,
,Magma Core,Magma Core,Магменото Ядро,
map events,map1,Enemies here:,Противници тук:,
,map2,Exit to: /x,Изход към: /x,
,map3,A chest of valuables!,Ковчеже със скъпоценности!,
,map4,An unknown event is here!,Тук има неизвестно събитие!,
,map5,A merchant is selling goods here!,Тук търговец продава стоката си!,
,map6,A locked door! I need a key!,Заключена врата! Трябва ми ключ!,
,map7,A healer!,Лечител!,
,mapPurse,There I am! I have been doodling on the map,Това съм аз! Драсках си по картата,
,mapSatchel,That's me! I think I spilled some coffee on the map,"Това съм аз! Мисля, че разлях кафе по картата",
character select,characterSelect,Character Select,Избиране на персонаж,
,purse,purse,портмоне,
,purse1,"A peppy rat from a poor village in Oakshire Forest, she aims to storm the dungeon, rebuild her village, and save her family!","Бодър плъх от бедно селце в Дъбов Лес. Целта ѝ е да щурмува подземието, да възстанови селцето си и да спаси семейството си!",
Events,,,,///////////////I is intros and f is farewells
,evg,/x gold,/x злато,indicating a cost of x gold
,,,,
,evtn,Welcome to the dungeon!,Добре дошъл в подземието!,
,evto1,You must conquer the dungeon by delving deep to the center to discover the ancient cheeses hidden there. You are armed only with your magic backpack.,"Трябва да превземеш подземието като слизаш все по-надълбоко към центъра му, за да откриеш древните сирена. Въоръжен си само с магическата си раница.",
,evtb1,I'm ready!,Готов съм!,
,evtb1o1,"You head into the dungeon, knowing very few make it back alive!","Влизаш в подземието, знаейки, че не всички се връщат обратно!",
,,,,
,evten,The end?,Край?,
,evteo1,You have made it to the center of the dungeon and have found the golden cheese! More content is coming! Please join our discord and show off your  backpack!,"Стигна до центъра на подземието и намери златното сирене! Предстои още съдържание! Ела в discord-а ни, за да си покажеш раницата!",
,evteb1,Continue in Endless Mode,Продължи в безкраен режим,
,evteb1o1,You continue forward! Things are about to get pretty hard...,Продължаваш напред! Нещата ще станат наистина трудни...,
,evteb2,New game!,Нова игра!,
,evteb2o1,You decide to start again to get new cheese!,Решаваш да започнеш отново в търсене на ново сирене!,
,,,,
,,,,
,,,,
,,,,
,,,,
,evldn,Locked door,Заключена врата,
,evldo1,You encounter a locked door. Will you open it?,Пред теб има заключена врата. Ще я отвориш ли?,
,evldb1,Unlock the door,Отключи вратата,
,evldb1o1,You open the door.,Отворяш вратата.,
,evldb2,Leave,Излез,
,evldb2o1,You leave the door.,Оставяш вратата зад себе си.,
,,,,
,,,,
,,,,
,ev1n,The master returns,Господарят се върна,
,ev1o1,"You see him from a distance, kneeling yet noble. It seems he saw you long before. His mouse eyes are strong and piercing. You feel that he sees into your soul... 'May I help you further?' he asks. 'A few coins and I will give you an item for archers.'","Виждаш го от разстояние, клечащ, но благороден. Изглежда, че е видял отдавна. Мишите му очи са пронизващи. Имаш чувството, че гледа в душата ти... 'Мога ли да ти помогна?' те пита той. 'За няколко монети ще ти дам предмет за стрелци.'",
,ev1b1,Get an item,Вземи предмет,
,ev1b1o1,"He takes the coins and rubs them in his mouse paw. ""Just a few will do nicely. I hope this can help you further,"" he says.","Той взима парите ти и ги потрива в мишата си лапа. ""Само няклко ще свършат работа. Надявам се това а ти помогне"", казва той.",
,ev1b1o1t1,Fly true like an arrow,Лети като стрела,
,ev1b1o1t2,Be one with your aim,Be one with your aim,
,ev1b2,Not for me,Не за мен,
,ev1b1o2t,"I understand, he says and leans against the nearby wall. ""Don't worry. Archers are coming soon. The dungeon will improve with time.""","""Разбирам"", казва той и се подпира на близката стена. ""Не се притеснявай. Стрелците ще дойдат скоро. С време подземието ще се подобри.""",
,ev1b1o2t1,Archery requires time.,Стрелбата с лък отнема време.,
,ev1i1,The arrow flies straight.,Стрелата лети право.,
,ev1i2,The path of an arrow - to the heart,Пътят на стрелата - до сърцето,
,ev1i3,Archery is an art,Стрелбата с лък е изкуство,
,ev1i4,Arrows require patience,Стрелите изискват търпение,
,ev1f1,May we meet again,Дано да се срещнем пак,
,ev1f2,In another life...,В друг живот...,
,ev1f3,Fly straight,Лети напред,
,ev1f4,Aim true,Прицелвай се точно,
,ev1f5,Bullseye.,Право в целта.,
,ev1f6,Stay in range,Стой в обхват,
,,,,
,ev2n,Master Archer,Mайстор Стрелец,
,ev2o1,"You see him from a distance, kneeling yet noble. It seems he saw you long before. His mouse eyes are strong and piercing. You feel that he sees into your soul... ""A trade my sibling?"" he asks. ""Discard the tools of badgers. Be one with flight.""","Виждаш го от разстояние, клечащ, но благороден. Изглежда, че е видял отдавна. Мишите му очи са пронизващи. Имаш чувството, че гледа в душата ти...  ""Сделка за сродна душа?"" те пита той. ""Изхвърли инструментите на язовците. Бъди свободен.""",
,ev2b1,"Give a weapon, get archery kit.","Дай оръжие, вземи комплект за стрелба.",
,ev2b1o1,"He takes the weapon and tosses it into the darkness. ""This is not a weapon. It is a crutch."" He hands you new items.","Той взима оръжието и го мята в мрака. ""Това не е оръжие, а патерица!"" И ти дава новите предмети.",
,ev2b1o1t1,Welcome to the school of archery.,Добре дошъл в школата по стрелба.,
,ev2b2,Not for me,Не е за мен,
,ev2b2o1,"I understand, he says and leans against the nearby wall. ""Don't worry. Archers are coming soon. The dungeon will improve with time.""","Разбирам, казва и се подпира на близката стена. ""Не се притеснявай. Стрелците ще дойдат скоро. С време подземието ще се подобри.""",
,ev2b2o1t1,Archery requires time.,Стрелбата с лък отнема време.,
,,,,
,ev3n,The retiring Chef,Готвачът пенсионер,
,ev3o1,"Age has crept in around his snout. You can see the white fur and shaggy edges from around his coat. ""I'm getting out of the game,"" he says. ""If you have something to eat, I might as well give you my cleaver.""","Възрастта е видимо пропълзяла по муцуната. Виждаш бяла козина and рошави краища по козината му. ""Пенсионирам се вече,"" казва той. ""Ако имаш нещо за ядене, може да ти дам сатъра си.""",
,ev3b1,Trade food for a cleaver,Размени храна за сатър,
,ev3b1o1,"Looks good to me, he says. You can't believe that he eats the whole thing without a moment's thought. ""Here you go,"" he says and hands you his chef knife. ""I won't be needing this any more.""","""Изглежда вкусно"", казва той. Не можеш да повярваш, че го изяжда толкова бързо и без да му мигне окото. ""Ето,"" казва той и ти връчва касапския си сатър. ""Това повее няма да ми трябва.""",
,ev3b1o1t1,I loved that knife. Use it well!,Обичах този нож. Използвай го със здраве!,
,ev3b1o1t2,I hope you like it!,Надявам се да ти хареса!,
,ev3b2,No thanks!,"Не, благоаря!",
,ev3b2o1,You turn to leave.,Обръщаш се и си тръгваш.,
,ev3b2o1t1,Sure you won't change your mind?,"Сигурен ли си?",
,ev3i1,Ah! Hope you aren't too hungry.,А! Надявам се не си прекалено гладен.,
,ev3i2,Oh my!,Леле мале!,
,ev3f1,Eat well!,Храни се добре!,
,ev3f2,Be well fed!,Бъди винаги добре нахранен!,
,ev3f3,Taste victory!,Вкуси победата!,
,ev3f4,Stay full!,Бъди сит!,
,ev3f5,Find cheese!,Търси сиренето!,
,ev3f6,Welcome! Eat well!,Добре дошъл! Храни се добре!,
,ev3f7,Ah! A customer!,А! Клиент!,
,,,,
,ev4n,Chef's platter,Платото на готвача,
,ev4b1,Buy some food!,Купи си храна!,
,ev4b1o1,"Very good, he says. ""Another perhaps?""","""Много добре"", казва той. ""Може би още едно?""",
,ev4b2,"No, thank you","Не, благодаря ти",
,ev4b2o1,"Very good sir, he says. ""But please do change your mind.""","""Много добре"", казва той. ""Но те моля да си промениш решението.""",
,ev4b2o1t1,More food to be had!,Има още храна за ядене!,
,ev4b2o1t2,Eat again!,Яж отново!,
,,,,
,ev5n,Eyes,Очо,
,ev5o1,The wall splits open. Inside you can see a vast abyss. Green eyes peer in. You recognize them as the eyes of a predator. Strange sounds echo from the place and an offer is made...,Стената се отваря пред теб. Вътре виждаш бездънна бездна. От нея гледат зелени очи. Разпознаваш ги като очи на хищник. Ехтят странни звуци и получаваш оферта...,
,ev5b1,Take a rare item for a curse,Вземи рядък предмет и проклятие,
,ev5b1o1,You can feel an acknowledgement and an item appears. The eyes watch as a horrible curse is placed in your backpack,Чувстваш признание и един предмет се появява. Очите гледат как в раницата ти се появява ужасно проклятие,
,ev5b1o2,"Two items appear in front of you, but a horrible curse has been placed upon you. The eyes give no sign of emotion.","Два предмета се появяват пред теб, но те сполетява и ужасно проклятие. Очите не показват никаква емоция.",
,ev5b2,No thanks,"Не, благодаря",
,ev5b2o1,The eyes watch you. They show no sign of emotion. ,Очите те гледат без следа от емоция. ,
,ev5i1,01100111 01101111 01101110 01100101,01100111 01101111 01101110 01100101,
,ev5i2,01110111 01100001 01110010,01110111 01100001 01110010,
,ev5i3,01101101 01100001 01101011 01100101 01110010 01110011,01101101 01100001 01101011 01100101 01110010 01110011,
,ev5f1,01110010 01100101 01101100 01101001 01100011 01110011,01110010 01100101 01101100 01101001 01100011 01110011,
,ev5f2,01100100 01100001 01101110 01100111 01100101 01110010,01100100 01100001 01101110 01100111 01100101 01110010,
,ev5f3,01100001 01101000 01100101 01100001 01100100,01100001 01101000 01100101 01100001 01100100,
,,,,
,ev6n,Brandy the Otter,Бранди Видрата,
,ev6o1,"Well, howdy! she says as you approach! Her nose wiggles and she shakes her gigantic tail. ""I've been doing some fishing. Care to buy one?""","""Ехо, здрасти!"", казва тя като я приближаваш! Носът и се Her nose мърда, докато разтърся голямата си опашка. ""Бях на риболов. Искаш ли да си купиш риба?""",
,ev6b1,Buy a fish!,Купи риба!,
,ev6b1o1,"She tosses you a fish. ""Care for another?""","Тя ти подхвърля една риба. ""Искаш ли още?""",
,ev6b1o1t1,Hope you enjoy it!,Нядявам се да ти хареса!,
,ev6b1o1t2,That's good!,Добре!,
,ev6b2,No thanks,"Не, благодаря",
,ev6b2o1,You say no. The smell is starting to get to be a bit much.,Казваш не. Миризмата започва та става прекалена.,
,ev6b2o1t1,I'm still here if you want more!,Ще съм тук ако искаш още!,
,ev6b2o1t2,"If you want a fish, let me know!","Ако искаш риба, само ми кажи!",
,ev6i1,Well howdy traveler!,"Здравей, пътнико!",
,ev6i2,"Nothing like a good fish, ya hear?","Няма нищо по-хубаво от прясна риба, нали?",
,ev6i3,I'm hungry! Need to chomp!,Гладна съм! Трябва да хапна!,
,ev6i4,Oh! Well how ya' doin' friend?,"Оу! К'во става, приятел?",
,ev6i5,Mmm... hi howdy there!,Ммм... здрасти!,
,ev6f1,See you again soon!,До скоро!,
,,,,
,ev7n,The Forge - Shield,Ковачницата - Щит,
